,Title,Most_Pronouns,Introduction,Stableness_Cases,Birth,Death
64,Madman Muntz,Male,"Earl William ""Madman"" Muntz (January 3, 1914 – June 21, 1987)[1] was an American businessman and engineer who sold and promoted cars and consumer electronics in the United States from the 1930s until his death in 1987. He was a pioneer in television commercials with his oddball ""Madman"" persona – an alter ego who generated publicity with his unusual costumes, stunts, and outrageous claims. Muntz also pioneered car stereos[1] by creating the Muntz Stereo-Pak, better known as the 4-track cartridge, a predecessor to the 8-track cartridge developed by Lear Industries.[2]",Success,1914,None
65,Edgar Speyer,Male,"Sir Edgar Speyer, 1st Baronet (7 September 1862 – 16 February 1932) was an American-born financier and philanthropist.[1] He became a British subject in 1892 and was chairman of Speyer Brothers, the British branch of the Speyer family's international finance house, and a partner in the German and American branches. He was chairman of the Underground Electric Railways Company of London (UERL, forerunner of the London Underground) from 1906 to 1915, a period during which the company opened three underground railway lines, electrified a fourth and took over two more.",Success,1862,1932
66,James B. Conant,Male,"James Bryant Conant (March 26, 1893 – February 11, 1978) was an American chemist, a transformative President of Harvard University, and the first U.S. Ambassador to West Germany. Conant obtained a PhD in Chemistry from Harvard in 1916. During World War I he served in the  U.S. Army, working on the development of poison gases. He became an assistant professor of chemistry at Harvard in 1919, and the Sheldon Emery Professor of Organic Chemistry in 1929. He researched the physical structures of natural products, particularly chlorophyll, and he was one of the first to explore the sometimes complex relationship between chemical equilibrium and the reaction rate of chemical processes. He studied the biochemistry of oxyhemoglobin providing insight into the disease methemoglobinemia, helped to explain the structure of chlorophyll, and contributed important insights that underlie modern theories of acid-base chemistry.",Success,1893,1978
67,Joseph Priestley,Male,"Joseph Priestley FRS (/ˈpriːstli/;[4] 24 March [O.S. 13 March] 1733 – 6 February 1804) was an 18th-century English Separatist theologian, natural philosopher, chemist, innovative grammarian, multi-subject educator, and liberal political theorist who published over 150 works.  He has historically been credited with the discovery of oxygen,[5] having isolated it in its gaseous state, although Carl Wilhelm Scheele and Antoine Lavoisier also have strong claims to the discovery.[6]",Success,1733,None
68,Anna Anderson,Female,"Anna Anderson (16 December 1896 – 12 February 1984) was the best known of several impostors who claimed to be Grand Duchess Anastasia of Russia.[1] Anastasia, the youngest daughter of the last Tsar and Tsarina of Russia, Nicholas II and Alexandra, was murdered along with her parents and siblings on 17 July 1918 by communist revolutionaries in Yekaterinburg, Russia, but the location of her body was unknown until 2007.[2][3]",Success,1896,1984
69,Hadji Ali,Male,"Hadji Ali (c. 1887–92 – November 5, 1937)[note 1] was a vaudeville performance artist, thought to be of Egyptian descent, who was famous for acts of controlled regurgitation. His best-known feats included water spouting, smoke swallowing, and nut and handkerchief swallowing followed by disgorgement in an order chosen by the audience. Ali's most famous stunt, and the highlight of his act, was drinking copious amounts of water followed by kerosene, and then acting by turns as a human flamethrower and fire extinguisher as he expelled the two liquids onto a theatrical prop. While these stunts were performed, a panel of audience members was invited to watch the show up close to verify that no trickery was employed.",Success,1887,1937
70,Marshall Applewhite,Male,"Marshall Herff Applewhite Jr. (May 17, 1931 – March 26, 1997), also known as Do,[a] among other names,[b] was an American cult leader who founded what became known as the Heaven's Gate religious group and organized their mass suicide in 1997, claiming the lives of 39 people.",Success,1931,1997
71,Isabella Beeton,Female,"Isabella Mary Beeton (née Mayson; 14 March 1836 – 6 February 1865), known as Mrs Beeton, was an English journalist, editor and writer. Her name is particularly associated with her first book, the 1861 work Mrs Beeton's Book of Household Management. She was born in London and, after schooling in Islington, north London, and Heidelberg, Germany, she married Samuel Orchart Beeton, an ambitious publisher and magazine editor.",Success,None,None
72,Biddenden Maids,Male,"Mary and Eliza Chulkhurst (or Chalkhurst), commonly known as the Biddenden Maids, were a pair of conjoined twins supposedly born in Biddenden, Kent, England, in the year 1100. They are said to have been joined at both the shoulder and the hip, and to have lived for 34 years. It is claimed that on their death they bequeathed five plots of land to the village, known as the Bread and Cheese Lands. The income from these lands was used to pay for an annual dole of food and drink to the poor every Easter. Since at least 1775, the dole has included Biddenden cakes, hard biscuits imprinted with an image of two conjoined women.",Success,None,None
73,William D. Boyce,Male,"William Dickson Boyce (June 16, 1858 – June 11, 1929) was an American newspaper man, entrepreneur, magazine publisher, and explorer. He was the founder of the Boy Scouts of America (BSA) and the short-lived Lone Scouts of America (LSA).[1] Born in Allegheny County, Pennsylvania, he acquired a love for the outdoors early in his life. After working as a schoolteacher and a coal miner, Boyce attended Wooster Academy in Ohio before moving to the Midwest and Canada. An astute businessman, Boyce successfully established several newspapers, such as The Commercial in Winnipeg, Manitoba and the Lisbon Clipper in Lisbon, North Dakota. With his first wife, Mary Jane Beacom, he moved to Chicago to pursue his entrepreneurial ambitions. There he established the Mutual Newspaper Publishing Company and the weekly Saturday Blade, which catered to a rural audience and was distributed by thousands of newspaper boys. With his novel employment of newsboys to boost newspaper sales, Boyce's namesake publishing company maintained a circulation of 500,000 copies per week by 1894. Boyce strongly supported worker rights, as demonstrated by his businesses' support of labor unions and his concern for his newsboys' well-being.",Success,1858,1929
74,Guy Bradley,Male,"Guy Morrell Bradley (April 25, 1870 – July 8, 1905) was an American game warden and deputy sheriff for Monroe County, Florida.  Born in Chicago, Illinois, he relocated to Florida with his family when he was young.  As a boy, he often served as guide to visiting fishermen and plume hunters, although he later denounced poaching after legislation was passed to protect the dwindling number of birds.  In 1902, Bradley was hired by the American Ornithologists' Union, at the request of the Florida Audubon Society, to become one of the country's first game wardens.",Success,None,None
75,Louise Bryant,Female,"Louise Bryant (December 5, 1885 – January 6, 1936) was an American feminist, political activist, and journalist best known for her sympathetic coverage of Russia and the Bolsheviks during the Russian Revolution. Bryant, who married fellow journalist John Reed (her second husband) in 1916, wrote about Russian leaders such as Katherine Breshkovsky, Maria Spiridonova, Alexander Kerensky, Vladimir Lenin, and Leon Trotsky. Her news stories, distributed by Hearst during and after her trips to Petrograd and Moscow, appeared in newspapers across the United States and Canada in the years immediately following World War I. A collection of articles from her first trip was published in 1918 as Six Red Months in Russia. Over the next year, she defended the revolution in testimony before the Overman Committee, a Senate subcommittee established to investigate Bolshevik influence in the United States. Later in 1919, she undertook a nationwide speaking tour to encourage public support of the Bolsheviks and to denounce armed U.S. intervention in Russia.",Success,1885,1936
